OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
31;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11,425121022;47,273612514
32;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11,424768528;47,273635001
33;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11,424773283;47,27342392
34;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,427253035;47,273333351
35;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,427028467;47,273331995
36;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426803428;47,273330619
37;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426578391;47,273329244
38;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426350374;47,273327874
39;Spielplatz Gutshofweg;Gutshofweg;Sportplatz;Spielplatz;11,418923701;47,273421672
40;Sportanlage VS Siebererstraße;Siebererstraße 7;Sportplatz;Spielplatz;11,403317777;47,273431495
41;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11,424517643;47,273210621
42;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11,425120888;47,273281403
43;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,427481986;47,273239473
44;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,427489706;47,272971814
45;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,427264852;47,272967951
46;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,4270392;47,272963993
47;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426814185;47,272960063
48;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426589171;47,272956133
49;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11,426364604;47,272952252
50;Sportanlage HS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11,424871782;47,273010842
51;Sportanlage VS Siebererstraße;Siebererstraße 7;Sporthalle;Sporthalle;11,403881621;47,273149743
52;Schießstand Hegnerschule;Burghard-Breitner-Straße 20;Schießstandhalle;Sonstiges;11,424678052;47,272747553
53;Sportanlage VS Siebererstraße;Siebererstraße 7;Sporthalle;Sporthalle;11,403506128;47,272807839
54;Fußballplatz Olympisches Dorf;An-der-Lan-Straße;Fußballplatz;Fußball/Football;11,444761254;47,27211349
55;Tischtennishalle Hegnerschule;Burghard-Breitner-Straße 20;Sporthalle;Sporthalle;11,424785352;47,272579866
56;Kegelbahn Hegnerschule;Burghard-Breitner-Straße 20;Kegelbahn;Sporthalle;11,424988523;47,272586631
57;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11,418568757;47,272558214
58;Sportanlage VS Siebererstraße;Siebererstraße 7;Sporthalle;Sporthalle;11,40406219;47,272740721
59;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11,418327825;47,272469733
60;Spielplatz Sepp-Grünbacher-Promenade;Sepp-Grünbacher-Promenade;Sportplatz;Spielplatz;11,437819639;47,272156625
61;Tischtennis Verbandsraum VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11,418284179;47,272219911
62;Spielplatz Grüner Boden;oberhalb Sadrachstraße 31;Sportplatz;Spielplatz;11,363486643;47,272573538
63;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,424425219;47,271876503
64;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,424212902;47,271820122
65;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,42400017;47,271763662
66;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11,423667122;47,271680147
67;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11,423450979;47,271622529
68;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,424609331;47,27155358
69;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11,42323497;47,271564902
70;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,42439791;47,271497456
71;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,424184857;47,271441095
72;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,423868479;47,271345945
73;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,423652389;47,271288742
74;Spielplatz Riedgasse;Riedgasse;Sportplatz;Spielplatz;11,388466629;47,271671039
75;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11,424790748;47,271254416
76;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,423435993;47,271231578
77;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11,424593023;47,271195535
78;Fußballplatz Fennerareal;Kaiserjägerstraße;Fußballplatz;Fußball/Football;11,399314387;47,271154274
79;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11,424370982;47,271130113
80;Sporthalle VS St. Nikolaus;Innallee 3;Sporthalle;Sporthalle;11,392728616;47,271438949
81;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,423775127;47,271016988
82;Sporthalle HS Olympisches Dorf;Kajetan-Sweth-Straße 14;Sporthalle;Sporthalle;11,443251064;47,270530047
83;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11,423830559;47,270905009
84;Schießstand Hötting;Schwabeneckweg 7;Schießstandhalle;Sonstiges;11,375426895;47,271149069
85;Turnleistungszentrum Olympisches Dorf;Kajetan-Sweth-Straße 14;Sporthalle;Sporthalle;11,443014133;47,270191067
86;Spielplatz Kajetan-Sweth-Straße;Kajetan-Sweth-Straße;Sportplatz;Spielplatz;11,443841399;47,269935823
87;Spielplatz Kindergarten Hötting;Schneeburggasse 30;Sportplatz;Spielplatz;11,381312996;47,270595741
88;Spielplatz Waltherpark;Innstraße;Sportplatz;Spielplatz;11,391943245;47,270432309
89;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;11,417850096;47,269343034
90;Sporthalle HS Pembaurstraße;Pembaurstraße 18;Sporthalle;Sporthalle;11,410779499;47,269435006
91;Sporthalle HS Gabelsbergerstraße;Gabelsbergerstraße 1;Sporthalle;Sporthalle;11,410491462;47,26938153
92;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;11,417208303;47,268957182
93;SVO Stockschützenverein Olympisches Dorf;Kugelfangweg 48;Bocciabahn;Sonstiges;11,447393694;47,26883399
94;Sporthalle VS Dreiheiligen;Jahnstraße 5;Sporthalle;Sporthalle;11,403428022;47,269068871
